Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
Fiat Cafe,"203 Mott St New York City, NY 10012-4562",+1 212-969-1809,Italian;Cafe;Vegetarian Friendly,8:00 AM,11:00 PM,8:00 AM,11:00 PM,Yes
Rahi,"60 Greenwich Ave New York City, NY 10011-8396",+1 212-373-8900,Indian;Vegetarian Friendly;Vegan Options,5:00 PM,12:00 AM11:00 AM,5:00 PM,11:00 PM11:00 AM,Yes
Burger King,"1313 Broadway New York City, NY 10001-2105",+1 917-512-6975,NaN,6:00 AM,12:00 AM,7:00 AM,12:00 AM,No
Vico Madison Avenue Ristorante,"1302 Madison Ave New York City, NY 10128-1351",+1 212-876-2222,Italian;Gluten Free Options,12:00 PM,3:00 PM5:00 PM,12:00 PM,3:00 PM5:00 PM,No
The Full Shilling,"160 Pearl St New York City, NY 10005-1617",+1 212-422-3855,American;Irish;Bar,11:00 AM,12:00 AM,NaN,NaN,No
Superfine,"126 Front St Brooklyn, NY 11201-1116",+1 718-243-9005,American;Bar,6:00 PM,11:00 PM11:30 AM,10:30 AM,3:00 PM6:00 PM,No
Roma Pizza,"1568 3rd Ave New York City, NY 10128-2203",+1 212-369-3455,Italian;Pizza,10:00 AM,4:00 AM,10:00 AM,4:00 AM,No
Tipsy Parson,"156 9th Ave New York City, NY 10011-4925",+1 212-620-4545,American;Gluten Free Options;Vegetarian Friendly,10:00 AM,12:00 AM,10:00 AM,10:00 PM,No
Gene's Restaurant,"73 W 11th St New York City, NY 10011-8605",+1 212-675-2048,Italian;International;Gluten Free Options,12:00 PM,11:00 PM,12:00 PM,11:00 PM,No
Cascade Cafe,"900 8th Ave New York City, NY 10019-6498",+1 212-969-9901,American;Cafe,6:00 AM,10:00 PM,6:00 AM,10:00 PM,Yes
Bombay's Indian Food,"60 Pearl St New York City, NY 10004-2455",+1 212-742-2222,Indian;Vegetarian Friendly,11:30 AM,9:00 PM,NaN,NaN,Yes
Cecconi's Dumbo,"55 Water St Brooklyn, NY 11201-1052",+1 718-650-3900,Italian;European;Vegetarian Friendly,NaN,NaN,NaN,NaN,No
Haven Rooftop,"132 W 47th St New York City, NY 10036-1502",+1 212-466-9000,American;Bar;Vegetarian Friendly,11:30 AM,12:00 AM,11:30 AM,11:00 PM,No
Piccola Cucina,"196 Spring St New York City, NY 10012-3621",+1 646-478-7488,Italian;Mediterranean;Vegetarian Friendly,11:30 AM,11:30 PM,11:30 AM,11:30 PM,Yes
Tribeca's Kitchen,"200 Church St New York City, NY 10013-3831",+1 646-893-1022,American;Diner;Delicatessen,6:00 AM,12:00 AM,6:00 AM,12:00 AM,Yes
21 Shanghai House,"21 Division St New York City, NY 10002-6712",+1 212-226-8998,Chinese;Asian,NaN,NaN,NaN,NaN,Yes
Dennis' Restaurant,"137 Franklin St New York City, NY 10013-2915",+1 212-925-7822,NaN,NaN,NaN,NaN,NaN,No
Elmo,"156 7th Ave New York City, NY 10011-1813",+1 212-337-8000,American;Bar;Vegetarian Friendly,10:00 AM,1:00 AM,10:00 AM,11:00 PM,Yes
Lillie's Victorian Establishment,"13 E 17th St New York City, NY 10003-1945",+1 212-337-1970,American;Bar;Pub,11:00 AM,4:00 AM,11:00 AM,4:00 AM,No
Corte Cafe,"2 Lafayette St New York City, NY 10007-1307",+1 212-766-3200,NaN,NaN,NaN,NaN,NaN,No
Galata Mediterranean Cuisine,"212 E 34th St New York City, NY 10016-4846",+1 212-683-9206,Mediterranean;Turkish;Middle Eastern,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
Mr. Chow - TriBeca,"121 Hudson St New York City, NY 10013-2333",+1 212-965-9500,Chinese;Asian,6:00 PM,11:30 PM,6:00 PM,11:30 PM,No
Fred's at Barneys New York,"660 Madison Ave New York City, NY 10065-8405",+1 212-833-2200,American;Vegetarian Friendly;Vegan Options,10:00 AM,7:00 PM,11:00 AM,7:00 PM,No
McGee's Pub & Restaurant,"240 W 55th St New York City, NY 10019-5201",+1 212-957-3536,American;Irish;Bar,11:00 AM,4:00 AM,12:00 PM,4:00 AM,No
Cafe Ollin,"339 E 108th St New York City, NY 10029-4252",+1 212-828-3644,Mexican;Latin;Spanish,10:00 AM,10:00 PM,10:00 AM,10:00 PM,No
Barilla Restaurants,"1065 Avenue of the Americas New York City, NY 10018-1878",+1 646-665-3816,Italian;Pizza;Mediterranean,11:00 AM,9:00 PM,11:00 AM,9:00 PM,Yes
Haru Sushi,"433 Amsterdam Ave New York City, NY 10024-5813",+1 212-579-5655,Japanese;Sushi;Asian,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
Acts III Bagels,"236 W 135th St New York City, NY 10030-2822",+1 212-281-2287,Cafe,NaN,NaN,NaN,NaN,No
Spinelli's Pizzeria,"425 7th Ave New York City, NY 10001-2001",+1 212-239-0646,Italian;Pizza;Fast Food,10:00 AM,10:30 PM,10:00 AM,10:30 PM,Yes
Monument Lane,"103 Greenwich Ave New York City, NY 10014-1914",+1 212-255-0155,American;Gluten Free Options,11:00 AM,12:00 AM,11:00 AM,10:30 PM,No
Chipotle Mexican Grill,"405 Avenue of the Americas New York City, NY 10014-3516",+1 917-243-6043,Mexican,11:00 AM,10:00 PM,11:00 AM,10:00 PM,No
Sofia Wine Bar and Cafe,"242 E 50th St New York City, NY 10022-7763",+1 212-888-8660,Italian;Wine Bar,5:00 PM,1:30 AM,4:00 PM,11:30 PM,No
Cacio e Vino,"80 2nd Ave New York City, NY 10003-8645",+1 212-228-3269,Italian;Pizza;Mediterranean,12:00 PM,12:00 AM,12:00 PM,12:00 AM,No
Pok Pok NY,"127 Columbia St Brooklyn, NY 11231-1475",718-923-9322,Asian;Thai;Gluten Free Options,5:30 PM,10:30 PM,5:30 PM,10:30 PM,Yes
Rumi Turkish Grill,"66 Sussex St Jersey City, NJ 07302-4526",+1 201-332-1010,Mediterranean;Turkish;Middle Eastern,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
Bejing Pop Kabob,"122 Mulberry St New York City, NY 10013-4604",+1 212-966-6206,Chinese;Street Food;Minority Chinese,11:00 AM,10:30 PM,11:00 AM,9:30 PM,Yes
Dim Sum Palace,"334 W 46th St New York City, NY 10036-3883",+1 646-861-1910,Chinese;Asian;Vegetarian Friendly,12:00 AM,1:30 AM10:30 AM,12:00 AM,1:30 AM10:30 AM,Yes
Pies-N-Thighs,"43 Canal St New York City, NY 10002-6262",+1 212-431-7437,American,5:00 PM,12:00 AM10:00 AM,5:00 PM,12:00 AM10:00 AM,Yes
Barboncino,"781 Franklin Ave Brooklyn, NY 11238-5548",+1 718-483-8834,Italian;Pizza;Vegetarian Friendly,10:30 AM,1:00 AM,10:30 AM,1:00 AM,Yes
Dirty French,"180 Ludlow St New York City, NY 10002-1514",+1 212-254-3000,French;Gluten Free Options,5:30 PM,11:30 PM,NaN,NaN,No
Red Mango,"111 Fulton St New York City, NY 10038-2711",+1 212-321-3210,NaN,12:00 PM,11:00 PM,12:00 PM,10:00 PM,No
Employees Only,"510 Hudson St New York City, NY 10014-2854",+1 212-242-3021,American;Bar;International,6:00 PM,4:00 AM,NaN,NaN,No
Neta,"61 W 8th St New York City, NY 10011-9017",+1 212-505-2610,Japanese;Sushi;Asian,12:00 PM,2:00 PM5:00 PM,12:00 PM,2:00 PM5:00 PM,Yes
Somtum Der,"85 Avenue a New York City, NY 10009-6500",+1 212-260-8570,Asian;Thai,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
Sunflower Diner,"359 3rd Ave New York City, NY 10016-9006",+1 212-532-8171,American;Diner,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
McDonald's,"966 3rd Ave New York City, NY 10022-2052",+1 212-753-5360,NaN,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
Professor Thom's,"219 2nd Ave New York City, NY 10003-2736",+1 212-260-9480,American;Bar;Pub,11:00 AM,4:00 AM,11:00 AM,4:00 AM,No
Fish Restaurant and Oyster Bar,"280 Bleecker St New York City, NY 10014-4159",+1 212-727-2879,American;Seafood;Soups,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
VIV Thai,"717 9th Ave New York City, NY 10019-7388",+1 212-581-5999,Asian;Thai;Vegetarian Friendly,12:00 PM,11:45 PM,12:00 PM,10:45 PM,Yes
Dos Caminos,"373 Park Ave S New York City, NY 10016-8805",+1 212-294-1000,Mexican;Latin;Central American,11:30 AM,12:00 AM,11:30 AM,10:00 PM,Yes
Mole Restaurante Mexicano & Tequileria,"57 Jane St New York City, NY 10014-5131",+1 212-206-7559,Mexican;Latin;Central American,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
Brooklyn Crab,"24 Reed St Brooklyn, NY 11231-1006",+1 718-643-2722,American;Bar;Seafood,11:30 AM,11:00 PM,11:30 AM,10:00 PM,Yes
Ammos Estiatorio,"52 Vanderbilt Ave New York City, NY 10017-3808",+1 212-922-9999,Seafood;Mediterranean;Greek,11:30 AM,10:00 PM,4:00 PM,10:00 PM,Yes
Aangan,"2701 Broadway New York City, NY 10025-4442",+1 212-280-4100,Indian;Vegetarian Friendly;Vegan Options,12:00 PM,3:00 PM5:00 PM,12:00 PM,3:00 PM5:00 PM,Yes
Rumours Pub,"933 8th Ave New York City, NY 10019-4202",+1 212-757-2373,American;Bar;Pub,11:00 AM,4:00 AM,12:00 PM,4:00 AM,No
Cut by Wolfgang Puck,"99 Church St New York City, NY 10007-2703",+1 646-880-1995,American;Steakhouse,NaN,NaN,NaN,NaN,No
Freddie and Pepper's,"303 Amsterdam Ave New York City, NY 10023-1755",+1 212-799-2378,Italian;Pizza;Fast Food,11:00 AM,1:30 AM,11:00 AM,12:00 AM,Yes
Sarge's Delicatessen & Diner,"548 3rd Ave New York City, NY 10016-3541",+1 212-679-0442,American;Diner;Soups,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Arno Ristorante,"141 W 38th St New York City, NY 10018-5074",+1 212-944-7420,Italian;Vegetarian Friendly;Vegan Options,4:00 PM,11:00 PM,NaN,NaN,No
Crave Fishbar,"945 2nd Ave New York City, NY 10022-7761",+1 646-895-9585,Seafood;International;Gluten Free Options,5:00 PM,11:00 PM,5:00 PM,9:30 PM,Yes
El Porron,"1123 First Avenue at 61st Street New York City, NY 10065",+1 212-207-8349,Mediterranean;Spanish,12:00 AM,11:59 PM,12:00 PM,11:00 PM,No
Island Burgers and Shakes,"766 9th Ave New York City, NY 10019-6323",+1 212-307-7934,American;Bar;Vegetarian Friendly,12:00 PM,11:00 PM,12:00 PM,10:30 PM,Yes
Korali,"1662 3rd Ave New York City, NY 10128-3703",+1 646-964-5470,Mediterranean;Greek;Seafood,NaN,NaN,NaN,NaN,Yes
Bagatelle,"1 Little West 12th St New York City, NY 10014-1302",+1 212-488-2110,French;Vegetarian Friendly,11:30 AM,2:00 AM,11:30 AM,2:00 AM,No
Jackson Hole,"232 E 64th St New York City, NY 10065-7415",+1 212-371-7187,American;Bar;Vegetarian Friendly,10:30 AM,12:00 AM,10:30 AM,12:00 AM,Yes
Texas Chicken And Burgers,"471 Lenox Ave New York City, NY 10030",+1 917-475-1715,American,10:00 AM,4:00 AM,10:00 AM,2:00 AM,Yes
Marumi,"546 Laguardia Pl New York City, NY 10012-1401",+1 212-979-7055,Japanese;Sushi;Asian,12:00 PM,3:00 PM5:30 PM,12:00 PM,3:00 PM5:30 PM,Yes
Palace Restaurant Coffee House,"122 E 57th St New York City, NY 10022-2623",+1 212-319-8989,American;Diner;Vegetarian Friendly,6:00 AM,10:00 PM,6:00 AM,10:00 PM,Yes
America's Finest Deli,"46 Trinity Pl New York City, NY 10006-2221",+1 212-509-0930,Fast Food;Cafe;Delicatessen,6:00 AM,8:00 PM,6:00 AM,6:00 PM,Yes
Crif Dogs,"113 Saint Marks Pl New York City, NY 10009-5161",+1 212-614-2728,American;Fast Food,12:00 PM,2:00 AM,12:00 PM,12:00 AM,Yes
The Boil,"139 Chrystie St New York City, NY 10002-2857",+1 212-925-8815,American;Seafood;Cajun & Creole,4:00 PM,12:00 AM,4:00 PM,11:00 PM,Yes
Canal Best Restaurant,"266 Canal St New York City, NY 10013-3516",+1 212-274-1535,Chinese;Asian,NaN,NaN,NaN,NaN,No
The Flying Cock,"497 3rd Ave New York City, NY 10016-4854",+1 212-689-6900,American;Bar;Pub,11:00 AM,4:00 AM,11:00 AM,4:00 AM,Yes
Burger King,"16 Beaver St Frnt A New York City, NY 10004-2314",+1 212-483-1051,NaN,NaN,NaN,NaN,NaN,No
Roast Kitchen,"199 Water St New York City, NY 10038-3526",+1 212-269-2590,American,11:00 AM,10:00 PM,11:00 AM,10:00 PM,No
Punjabi Grocery & Deli,"114 1st Ave New York City, NY 10009-5726",+1 212-533-3356,Indian;Delicatessen;Vegetarian Friendly,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
The Paramount Bar & Grill,"235 W 46th St New York City, NY 10036-1409",+1 212-827-4116,American;Bar,7:00 AM,1:00 AM,7:00 AM,1:00 AM,No
Sockerbit,"89 Christopher St New York City, NY 10014-6602",+1 212-206-8170,Swedish;Scandinavian,11:00 AM,9:00 PM,11:00 AM,8:00 PM,No
Luke's Lobster Upper West Side,"426 Amsterdam Ave New York City, NY 10024-5846",+1 212-877-8800,American;Seafood;Fast Food,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
LIC Market,"2152 44th Dr Long Island City, NY 11101-4710",+1 718-361-0013,American;International;Vegetarian Friendly,7:00 AM,10:00 PM,11:00 AM,3:30 PM,Yes
Angkor Cambodian Bistro,"408 E 64th St New York City, NY 10065-7848",+1 212-758-2111,Asian;Cambodian;Vegetarian Friendly,12:00 PM,11:00 PM,4:30 PM,10:30 PM,Yes
Clement at The Peninsula New York,"700 Fifth Avenue at 55th Street New York City, NY 10019",+1 212-903-3918,American;Contemporary;Gluten Free Options,6:30 AM,10:30 AM5:30 PM,6:30 AM,10:30 AM11:30 AM,No
The Muffins Cafe,"222 Columbus Ave New York City, NY 10023-4004",+1 212-875-1173,Cafe,7:00 AM,8:00 PM,7:00 AM,8:00 PM,No
Dorlan's Tavern & Oyster Bar,"213 Front St New York City, NY 10038-2008",+1 212-779-2222,American;Bar;Seafood,11:30 AM,4:00 AM,11:30 AM,4:00 AM,Yes
Astor Court,"2 E 55th St New York City, NY 10022-3103",+1 212-339-6857,Bar;American;Vegetarian Friendly,NaN,NaN,NaN,NaN,No
Sticky's Finger Joint,"31 W 8th St New York City, NY 10011-9064",+1 212-777-7131,American;Fast Food,12:00 PM,4:00 AM,12:00 PM,11:00 PM,Yes
Village Taverna,"81 University Pl New York City, NY 10003-4505",+1 212-982-3457,Mediterranean;Greek;Vegetarian Friendly,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
Butcher & Banker,"481 8th Ave New York City, NY 10001-1809",+1 212-268-8455,Steakhouse,4:30 PM,2:00 AM,4:30 PM,2:00 AM,No
Virgil's Real BBQ -Time Square,"152 W 44th St New York City, NY 10036-4025",+1 212-921-9494,American;Bar;Barbecue,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
Champs Diner,"197 Meserole St Brooklyn, NY 11206-2229",+1 718-599-2743,American;Diner;Vegetarian Friendly,8:00 AM,12:00 AM,8:00 AM,12:00 AM,Yes
Cosmic Diner,"888 8th Ave New York City, NY 10019-5704",+1 212-333-5888,American;Diner;Vegetarian Friendly,12:00 AM,12:00 AM,12:00 AM,12:00 AM,Yes
Petit Poulet,"52 W 33rd St New York City, NY 10001-3302",+1 212-244-0440,French;European;Vegetarian Friendly,7:00 AM,11:00 PM,7:00 AM,11:00 PM,No
Peking Duck House,"28 Mott St New York City, NY 10013-5036",+1 212-227-1810,Chinese;Asian,11:30 AM,11:30 PM,11:45 AM,10:30 PM,Yes
Barclay Bar & Grill,"111 E 48th St New York City, NY 10017-1222",+1 212-906-3130,American;Bar;Contemporary,7:00 AM,10:30 PM,7:00 AM,10:30 PM,No
Pick and Eat,"4179 Broadway New York City, NY 10033-3730",+1 212-795-0054,American,10:00 AM,12:00 AM,10:00 AM,10:00 PM,No
Tempura Matsui,"222 E 39th St New York City, NY 10016-2777",+1 212-986-8885,Japanese;Asian,NaN,NaN,NaN,NaN,No
Montebello Ristorante Italiano,"120 E 56th St Frnt 1 New York City, NY 10022-3607",+1 212-753-1447,Italian,11:30 AM,10:30 PM,NaN,NaN,Yes
Cibao Restaurant,"72 Clinton St New York City, NY 10002-2430",+1 212-228-0703,NaN,6:00 AM,2:00 AM,6:00 AM,2:00 AM,No
rosemary's,"18 Greenwich Ave New York City, NY 10011-8307",212-647-1818,Italian;Vegetarian Friendly;Vegan Options,5:00 PM,12:00 AM10:00 AM,5:00 PM,12:00 AM10:00 AM,Yes
Seamore's Seafood Restaurant,"390 Broome St New York City, NY 10013-3201",+1 212-730-6005,American;Seafood;Vegetarian Friendly,11:30 AM,12:00 AM,11:30 AM,11:00 PM,No
McHale's Bar & Grill,"251 W 51st St New York City, NY 10019-6261",+1 212-957-5138,American;Irish;Bar,10:00 AM,4:00 AM,11:00 AM,4:00 AM,Yes
Brgr,"287 7th Ave New York City, NY 10001-6009",+1 212-488-7500,American;Fast Food,11:00 AM,12:00 AM,11:00 AM,10:00 PM,Yes
Madison Restaurant - First Ave,"965 1st Ave New York City, NY 10022-5102",+1 212-421-0948,American;Diner;Vegetarian Friendly,6:00 AM,2:00 AM,6:00 AM,2:00 AM,Yes
Naruto Ramen,"2634 Broadway New York City, NY 10025-5021",+1 212-222-0229,Asian;Japanese;Soups,NaN,NaN,NaN,NaN,No
Il Cafe Latte II,"458 W 145th St New York City, NY 10031-4701",+1 212-234-0202,American;Cafe;Vegetarian Friendly,8:00 AM,10:00 PM,8:00 AM,10:00 PM,Yes
The Wren,"344 Bowery New York City, NY 10012-2465",+1 212-388-0148,American;Bar;Pub,11:00 AM,4:00 AM,11:00 AM,2:00 AM,No
Capizzi,"547 9th Ave New York City, NY 10018-1324",+1 212-695-6900,Italian;Pizza;Vegetarian Friendly,11:00 AM,1:00 AM,12:00 PM,11:00 PM,Yes
Salinas,"136 9th Ave New York City, NY 10011-4949",+1 212-776-1990,Mediterranean;Spanish;Gluten Free Options,6:00 PM,11:00 PM,5:45 PM,10:00 PM,No
Charlie Bird,"5 King St New York City, NY 10012-2945",+1 212-235-7133,Italian;American;Vegetarian Friendly,5:30 AM,12:00 AM,5:30 PM,11:00 PM,No
NewsBar--University Place,"107 University Pl New York City, NY 10003-4523",+1 212-353-1246,Cafe;Delicatessen,6:30 AM,8:00 PM,6:30 AM,8:00 PM,Yes
Red Hook Lobster Pound,"284 Van Brunt St Brooklyn, NY 11231-1236",+1 718-858-7650,American;Seafood,11:30 AM,10:00 PM,11:30 AM,9:00 PM,Yes
The Smith,"1900 Broadway New York City, NY 10023-7004",+1 212-496-5700,American;Bar;Vegetarian Friendly,9:00 AM,1:00 AM,9:00 AM,12:00 AM,Yes
Jin Ramen Uws,"462 Amsterdam Ave New York City, NY 10024-5006",+1 646-657-0755,Japanese;Asian;Soups,NaN,NaN,NaN,NaN,Yes
Scalinatella Restaurant,"201 E 61st St New York City, NY 10065-8237",+1 212-207-8280,Italian;Vegetarian Friendly;Gluten Free Options,12:00 PM,3:00 PM5:00 PM,5:00 PM,10:30 PM,No
5th Avenue Empire Cafe Inc.,"339 5th Ave New York City, NY 10016-5016",+1 212-686-0036,Chinese,11:00 AM,9:30 PM,11:00 AM,9:30 AM,No
Bill's Bar & Burger Downtown,"85 West St New York City, NY 10006-1532",+1 212-894-3800,American;Bar;Vegetarian Friendly,7:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
Ootoya,"8 W 18th St New York City, NY 10011-4602",+1 212-704-0833,Japanese;Asian;Vegetarian Friendly,5:30 PM,10:30 PM11:30 AM,5:30 PM,10:30 PM11:30 AM,No
Pret A Manger,"857 Broadway New York City, NY 10003-1225",+1 646-572-8010,American;Cafe;Fast Food,7:00 AM,12:00 AM,8:00 AM,10:00 PM,Yes
Azuri Cafe,"465 W 51st St New York City, NY 10019-6345",+1 212-262-2920,Mediterranean;Middle Eastern;Israeli,NaN,NaN,10:30 AM,9:00 PM,Yes
Tuck Shop,"75 9th Ave New York City, NY 10011-7006",+1 212-255-2021,Australian,8:00 AM,5:00 AM,12:00 PM,10:00 PM,Yes
Food King Chinese Restaurant,"694 10th Ave New York City, NY 10019-7108",+1 212-307-6701,Chinese;Seafood;Vegetarian Friendly,11:00 AM,12:00 AM,12:00 PM,11:00 PM,No
Little Italy Gourmet Pizza,"11 Park Pl New York City, NY 10007-2801",+1 212-227-7077,Italian;Pizza;Fast Food,11:00 AM,5:00 PM,11:00 AM,5:00 PM,Yes
Gaijin,"3712 31st Ave New York City, NY 11103-4153",+1 929-328-2890,NaN,5:00 PM,11:00 PM,NaN,NaN,No
Bassanova Ramen,"76 Mott St New York City, NY 10013-4917",+1 646-878-6323,Japanese;Soups;Asian,12:00 PM,11:00 PM,12:00 PM,10:00 PM,Yes
Nanoosh,"2012 Broadway New York City, NY 10023-5003",+1 212-362-7922,Mediterranean;Middle Eastern;Vegetarian Friendly,11:00 AM,11:00 PM,12:00 PM,10:00 PM,Yes
The Green Table,"75 9th Ave New York City, NY 10011-7006",+1 212-741-6623,Bar;American;Vegetarian Friendly,11:00 AM,10:00 PM,11:00 AM,4:00 PM,No
The Dutch,"131 Sullivan St New York City, NY 10012-3043",+1 212-677-6200,Seafood;American;Contemporary,10:00 AM,11:30 PM,10:00 AM,11:00 PM,No
Panda Express,"1277 1st Ave New York City, NY 10065-5601",+1 212-288-1323,Chinese,NaN,NaN,NaN,NaN,No
John Brown Smokehouse,"1043 44th Dr Long Island City, NY 11101-7037",+1 347-617-1120,American;Bar;Barbecue,12:00 PM,11:00 PM,12:00 PM,9:00 PM,Yes
Maggie's Place,"21 E 47th St New York City, NY 10017-1901",+1 212-753-5757,American;Irish;Bar,11:30 AM,8:00 PM,NaN,NaN,No
Flannery's Bar,"205 W 14th St New York City, NY 10011-7100",+1 212-229-2122,NaN,8:00 AM,4:00 AM,8:00 AM,3:00 AM,No
Papaya Dog,"333 Avenue of the Americas New York City, NY 10014-6912",+1 212-627-9748,American;Fast Food,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Subway,"2508 Broadway New York City, NY 10025-6923",+1 212-665-6700,Fast Food,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Little Italy Pizza,"214 W 92nd St New York City, NY 10025-7440",+1 212-787-6700,Italian,NaN,NaN,NaN,NaN,No
Subway,"111 Broadway New York City, NY 10006-1901",+1 212-227-6323,NaN,NaN,NaN,NaN,NaN,No
Bill's Townhouse,"57 E 54th St New York City, NY 10022-4206",+1 212-518-2727,American;Vegetarian Friendly;Gluten Free Options,1:00 PM,9:00 PM,NaN,NaN,No
Freda's,"993 Columbus Ave New York City, NY 10025-2502",+1 646-438-9832,Caribbean;Jamaican,1:00 PM,12:00 AM,1:00 PM,10:00 PM,Yes
Pastai,"186 9th Ave New York City, NY 10011-4918",+1 646-688-3463,Italian;Vegetarian Friendly,10:00 AM,2:00 AM,10:00 AM,1:00 AM,No
The Grey Dog,"244 Mulberry St New York City, NY 10012-4105",+1 212-966-1060,American;Cafe;Vegetarian Friendly,7:30 AM,11:30 PM,7:30 AM,10:30 PM,Yes
Smith & Wollensky,"797 3rd Ave New York City, NY 10022-6226",+1 212-753-1530,American;Steakhouse;Gluten Free Options,5:00 PM,11:00 PM,5:00 PM,11:00 PM,No
"Chocolate by the Bald Man, Max Brenner","841 Broadway New York City, NY 10003-4704",+1 646-467-8803,American;Vegetarian Friendly;Vegan Options,9:00 AM,2:00 AM,9:00 AM,12:00 AM,Yes
Subway,"561 10th Ave New York City, NY 10036-3033",+1 212-279-8922,Fast Food,NaN,NaN,NaN,NaN,Yes
Just Salad,"1306 1st Ave New York City, NY 10021-5301",NaN,Healthy,NaN,NaN,NaN,NaN,No
Stolle Bakery Cafe,"109 W 10th St New York City, NY 10011-8367",+1 855-800-3131,European,NaN,NaN,NaN,NaN,No
Nyonya,"199 Grand St New York City, NY 10013-3717",+1 212-334-3669,Asian;Malaysian;Vegetarian Friendly,11:00 AM,12:00 AM,11:00 AM,11:30 PM,Yes
Obao,"647 9th Ave New York City, NY 10036-3661",+1 212-245-8880,Asian;Thai;Vietnamese,11:30 AM,1:00 AM,11:30 AM,11:00 PM,Yes
The Breslin,"16 W 29th St New York City, NY 10001-4502",+1 212-679-1939,American;Bar;Gastropub,7:00 AM,12:00 AM,7:00 AM,12:00 AM,No
Butter Midtown,"70 W 45th St New York City, NY 10036-4202",+1 212-253-2828,American;Vegetarian Friendly;Vegan Options,5:00 PM,10:00 PM,11:00 AM,2:00 PM5:00 PM,No
Casa Apicii,"62 W 9th St New York City, NY 10011-8907",+1 212-353-8400,Italian;American;Bar,5:30 PM,11:00 PM,5:30 PM,10:00 PM,No
Agora Turkish Restaurant,"1565 2nd Ave New York City, NY 10028-2606",+1 212-717-1220,Mediterranean;Turkish;Middle Eastern,12:00 PM,10:00 PM,12:00 PM,10:00 PM,Yes
Dog & Bone,"162 E 25th St New York City, NY 10010-2312",+1 212-889-1570,NaN,NaN,NaN,NaN,NaN,No
Nai Tapas Bar,"174 1st Ave New York City, NY 10009-4506",+1 212-677-1030,Spanish;Vegetarian Friendly,1:00 PM,2:00 AM,12:00 PM,10:00 PM,No
Ramen Thukpa,"70 7th Ave S New York City, NY 10014-4002",+(1)212-2188,Asian;Soups;Tibetan,10:30 AM,8:30 PM,12:00 PM,8:30 PM,Yes
Fornino,"187 Bedford Ave Brooklyn, NY 11211-5787",+1 718-384-6004,Italian;Pizza;Vegetarian Friendly,12:00 PM,12:00 AM,12:00 PM,11:00 PM,Yes
Llama Inn,"50 Withers St Brooklyn, NY 11211-1214",+1 718-387-3434,Peruvian;Latin;Vegetarian Friendly,NaN,NaN,NaN,NaN,No
The Pennsy,"2 Pennsylvania Plaza New York City, NY 10011",+1 646-813-1818,American;Bar;Fast Food,11:00 AM,11:00 PM,11:00 AM,8:00 PM,Yes
The Palm Too,"840 Second Ave New York City, NY 10017-4370",+1 212-697-5198,American;Gluten Free Options,5:00 PM,10:30 PM,5:00 PM,10:00 PM,Yes
RabbitHole,"352 Bedford Ave Brooklyn, NY 11249-5586",+1 718-782-0910,American;Healthy;Vegetarian Friendly,9:00 AM,11:00 PM,9:00 AM,11:00 PM,No
Cipriani Dolci,"89 E 42nd St New York City, NY 10017-5503",+1 212-973-0999,Italian;European;Vegetarian Friendly,12:00 PM,5:30 PM,NaN,NaN,No
Pax Wholesome Foods,"202 E 42nd St New York City, NY 10017-5808",+1 212-972-5600,American;Fast Food;Gluten Free Options,NaN,NaN,NaN,NaN,Yes
Whole Foods Market,"270 Greenwich St New York City, NY 10007-1150",+1 212-349-6555,American;Vegan Options;Vegetarian Friendly,7:00 AM,11:00 PM,7:00 AM,11:00 PM,Yes
El Presidente Restaurant,"3938 Broadway New York City, NY 10032-1544",+1 212-927-7011,Caribbean;Latin;Mexican,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Ruben's Empanadas,"15 Bridge St New York City, NY 10004-2106",+1 212-509-3825,NaN,11:00 AM,7:00 PM,11:00 AM,5:00 PM,No
Key Food,"55 Fulton St New York City, NY 10038-1821",NaN,NaN,NaN,NaN,NaN,NaN,No
Grazie,"26 E 84th St New York City, NY 10028-0426",+1 212-717-4407,Italian;Vegetarian Friendly;Gluten Free Options,10:30 AM,11:00 PM,10:30 AM,10:00 PM,Yes
Tao Downtown,"92 9th Ave New York City, NY 10011-4900",+1 727-278-7258,Chinese;Japanese;Sushi,5:00 PM,2:00 AM,5:00 PM,1:00 PM,No
